MESSAGES,,,,,,
,,,,,,
,,,,,,
,,,,,,
 Congrats everyone! ,,,,,,
,,,,,,
 Yeah!!,,,,,,
,,,,,,
" Yeas , cheers to the new CC and I hope I have a memorable journey with all you guys !!",,,,,,
 Congrats guys!!,,,,,,
 Congratulations !,,,,,,
,,,,,,
 Congratulations ❣,,,,,,
 We'll need a car tomorrow. ,,,,,,
,,,,,,
 Shashank?,,,,,,
 I can get a bike,,,,,,
 And the calls thing ,,,,,,
,,,,,,
 Can you guys call up Cbitians today before 9pm and tell them that they have to pay by tomorrow afternoon near the canteen?,,,,,,
 We'll talk to the outsiders,,,,,,
 Ya....forward us the list,,,,,,
 Okay send the list,,,,,,
 Guys we already started the calls last week. So it's actually if better we consider that. What do you say?,,,,,,
 Take-up*,,,,,,
 Okay fine!!,,,,,,
 Okay!!,,,,,,
 When do we collect the momento’s?,,,,,,
 Thursday evening,,,,,,
 Food?,,,,,,
 Shall we talk to him tomorrow again?,,,,,,
 We need to remind them a day before,,,,,,
 Okay,,,,,,
 We need to pay him a day before right?,,,,,,
 Only advance..... that's it right @919490580080  ?,,,,,,
 It’s around 10k that we have to pay!,,,,,,
 We need to pay him 10k on Thursday and tell the number of people for day1.,,,,,,
 Tomorrow we have to collect money from all the CBITians.,,,,,,
 Okay,,,,,,
 cbiticc2018@gmail.com,,,,,,
,,,,,,
 Okay guys! ,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 Yeah cool,,,,,,
 Okay fine....,,,,,,
 Guys! I just took the stick files for you guys to check the quality.....if you like it..... I'll get how many we need,,,,,,
 Each file is ₹6.50,,,,,,
 Yes cool,,,,,,
 Yeah!!,,,,,,
 schedule(1).xlsx ‎document omitted,,,,,,
 You guys may get a call😛,,,,,,
 I told him we are expecting 60,,,,,,
 Delegate^,,,,,,
 What else did he say ?,,,,,,
 How many placards did we get!?,,,,,,
 He’s like ,,,,,,
,,,,,,
,,,,,,
,,,,,,
120,,,,,,
 And what was the cost of each one,,,,,,
 !?,,,,,,
 Rs 5 per sheet. We get 2 placards In one sheet.,,,,,,
 80 files will be fine right?,,,,,,
 Or do we take 100?,,,,,,
 I think they will be sufficient. We are not gonna provide extra files anyway.,,,,,,
 ID-Pouches too,,,,,,
90,,,,,,
 For delegates and EB,,,,,,
 Somebody tell Deepak to get the A4 sheets tomorrow,,,,,,
 Okay,,,,,,
 Jaahnavi take the resources from Deepthi today itself,,,,,,
 thesecretariat2017@gmail.com,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 And ID card tags ?,,,,,,
 We can use one colour for one committee.,,,,,,
 Will they be sufficient then ?,,,,,,
 Okay,,,,,,
 So regarding the countries thing ,,,,,,
,,,,,,
,,,,,,
 She is getting them tomorrow,,,,,,
 I will collect them from her at college,,,,,,
 Does anyone have stencils?,,,,,,
 Yeah,,,,,,
 That's a tedious job. But it will save some money.,,,,,,
" We’ve got really less time , if you guys think we can manage , we will write them down",,,,,,
 Let's get them printed. Writing down so many placards in one day will take lot of time. We have other work also.,,,,,,
 Yeas,,,,,,
 Guys ... who is going tp host!?,,,,,,
 To*,,,,,,
 Jaanvi,,,,,,
 RT,,,,,,
 The content ??,,,,,,
 Harika??,,,,,,
 What?,,,,,,
 Host,,,,,,
 No re I can't,,,,,,
 You'll have to,,,,,,
 I was asking you help her with content,,,,,,
 😅,,,,,,
 Oh fine,,,,,,
 Sarey,,,,,,
 Rey,,,,,,
 Who'll be Co ordinating with what in the CDAs ? ,,,,,,
,,,,,,
 Chits meeee,,,,,,
" We might need the three of you to handle transport, food , budgeting.",,,,,,
 We have to get people from the secretariat to do Liaison Officer job,,,,,,
 Whom will you say 😕😶,,,,,,
 We are already working on budgeting,,,,,,
 Check the sheets we made the budget sheet,,,,,,
 Okay,,,,,,
 7 of us can't run the entire show. We will need their help.,,,,,,
 Let's ask first....if they are not showing interest then we will have to request them.,,,,,,
 We’ll have to do the ground work ,,,,,,
,,,,,,
 ‎,,,,,,
" If there’s no gold , what will be there ?",,,,,,
 It’ll be blank itself then,,,,,,
 Wait a sec,,,,,,
 Ha,,,,,,
 Blank is fine no,,,,,,
 Does the gold plate cost more ?,,,,,,
 If it comes for the same price then fine or else keep it plain only,,,,,,
 Which colour should the stamp be in!?,,,,,,
" Hmmm , I guess black will be better kada",,,,,,
 We are taking black then,,,,,,
 Ha take,,,,,,
 Who is gonna talk to Revannth ?,,,,,,
 About ?,,,,,,
 Vaivab ka transport and resources pettali kada,,,,,,
 Where will keep the placard and files,,,,,,
 And ID’s and momentos and certificates,,,,,,
 ‎,,,,,,
 Ha sett,,,,,,
 We might need one more memento for Sandhya Sree Ma'am,,,,,,
 Who said?,,,,,,
 Revannth,,,,,,
 Call and tell them then,,,,,,
 Ya,,,,,,
 Did u ask him if we can keep the resources in his car ani ?,,,,,,
" U mean tomorrow when we get the resources, can we keep them in his car and collect day after tomorrow ?",,,,,,
 We can send a cab for Vaivab Das and reimburse it later,,,,,,
 Yesss,,,,,,
 okieee,,,,,,
 100 files ,,,,,,
,,,,,,
,,,,,,
 👍🏻,,,,,,
 ‎,,,,,,
 Woahhhh,,,,,,
 I like it,,,,,,
 Set kada we’ll get it printed,,,,,,
 Wait,,,,,,
,,,,,,
" cool kada, i like it too",,,,,,
" umm , can we put that inter collegiate conference koncham kindaki?",,,,,,
 only little bit,,,,,,
 I said that already,,,,,,
 ohh sare,,,,,,
 It's nice,,,,,,
 Sett,,,,,,
 Collegeate or collegiate??,,,,,,
 Spelling😅,,,,,,
 Collegiate,,,,,,
